lab,grade,fake_name
lab_02,3,focused-varahamihira
lab_03,2,focused-varahamihira
lab_04,2,focused-varahamihira
lab_05,2,focused-varahamihira
lab_06a,2,focused-varahamihira
lab_06b,2,focused-varahamihira
lab_07,2,focused-varahamihira
lab_08,3,focused-varahamihira
lab_09,2,focused-varahamihira
lab_10,2,focused-varahamihira
lab_11a,2,focused-varahamihira
lab_11b,2,focused-varahamihira
lab_12,2,focused-varahamihira
lab_13,2,focused-varahamihira
lab_14,2,focused-varahamihira
lab_15a,2,focused-varahamihira
lab_15b,2,focused-varahamihira
lab_16,0,focused-varahamihira
lab_17,1,focused-varahamihira
lab_18,2,focused-varahamihira
lab_19a,2,focused-varahamihira
lab_19b,2.0,focused-varahamihira
lab_02,2,hungry-mayer
lab_03,3,hungry-mayer
lab_04,3,hungry-mayer
lab_05,3,hungry-mayer
lab_06a,2,hungry-mayer
lab_06b,3,hungry-mayer
lab_07,2,hungry-mayer
lab_08,2,hungry-mayer
lab_09,3,hungry-mayer
lab_10,3,hungry-mayer
lab_11a,2,hungry-mayer
lab_11b,2,hungry-mayer
lab_12,2,hungry-mayer
lab_13,2,hungry-mayer
lab_14,2,hungry-mayer
lab_15a,2,hungry-mayer
lab_15b,2,hungry-mayer
lab_16,3,hungry-mayer
lab_17,2,hungry-mayer
lab_18,3,hungry-mayer
lab_19a,2,hungry-mayer
lab_19b,2.0,hungry-mayer
lab_02,2,angry-bardeen
lab_03,2,angry-bardeen
lab_04,2,angry-bardeen
lab_05,2,angry-bardeen
lab_06a,2,angry-bardeen
lab_06b,2,angry-bardeen
lab_07,2,angry-bardeen
lab_08,2,angry-bardeen
lab_09,2,angry-bardeen
lab_10,3,angry-bardeen
lab_11a,2,angry-bardeen
lab_11b,3,angry-bardeen
lab_12,2,angry-bardeen
lab_13,2,angry-bardeen
lab_14,3,angry-bardeen
lab_15a,2,angry-bardeen
lab_15b,3,angry-bardeen
lab_16,2,angry-bardeen
lab_17,1,angry-bardeen
lab_18,2,angry-bardeen
lab_19a,2,angry-bardeen
lab_19b,2.0,angry-bardeen
lab_02,0,dazzling-bose
lab_03,1,dazzling-bose
lab_04,1,dazzling-bose
lab_05,2,dazzling-bose
lab_06a,0,dazzling-bose
lab_06b,1,dazzling-bose
lab_07,1,dazzling-bose
lab_08,2,dazzling-bose
lab_09,0,dazzling-bose
lab_10,3,dazzling-bose
lab_11a,1,dazzling-bose
lab_11b,2,dazzling-bose
lab_12,1,dazzling-bose
lab_13,2,dazzling-bose
lab_14,2,dazzling-bose
lab_15a,0,dazzling-bose
lab_15b,1,dazzling-bose
lab_16,0,dazzling-bose
lab_17,1,dazzling-bose
lab_18,2,dazzling-bose
lab_19a,2,dazzling-bose
lab_19b,1.0,dazzling-bose
lab_02,2,zealous-sinoussi
lab_03,2,zealous-sinoussi
lab_04,2,zealous-sinoussi
lab_05,3,zealous-sinoussi
lab_06a,2,zealous-sinoussi
lab_06b,3,zealous-sinoussi
lab_07,2,zealous-sinoussi
lab_08,2,zealous-sinoussi
lab_09,2,zealous-sinoussi
lab_10,3,zealous-sinoussi
lab_11a,2,zealous-sinoussi
lab_11b,2,zealous-sinoussi
lab_12,2,zealous-sinoussi
lab_13,3,zealous-sinoussi
lab_14,2,zealous-sinoussi
lab_15a,2,zealous-sinoussi
lab_15b,2,zealous-sinoussi
lab_16,2,zealous-sinoussi
lab_17,2,zealous-sinoussi
lab_18,3,zealous-sinoussi
lab_19a,2,zealous-sinoussi
lab_19b,3.0,zealous-sinoussi
lab_02,2,eloquent-ardinghelli
lab_03,2,eloquent-ardinghelli
lab_04,2,eloquent-ardinghelli
lab_05,2,eloquent-ardinghelli
lab_06a,2,eloquent-ardinghelli
lab_06b,3,eloquent-ardinghelli
lab_07,2,eloquent-ardinghelli
lab_08,2,eloquent-ardinghelli
lab_09,3,eloquent-ardinghelli
lab_10,3,eloquent-ardinghelli
lab_11a,2,eloquent-ardinghelli
lab_11b,2,eloquent-ardinghelli
lab_12,3,eloquent-ardinghelli
lab_13,1,eloquent-ardinghelli
lab_14,2,eloquent-ardinghelli
lab_15a,1,eloquent-ardinghelli
lab_15b,2,eloquent-ardinghelli
lab_16,2,eloquent-ardinghelli
lab_17,2,eloquent-ardinghelli
lab_18,2,eloquent-ardinghelli
lab_19a,1,eloquent-ardinghelli
lab_19b,2.0,eloquent-ardinghelli
lab_02,3,mystifying-kalam
lab_03,2,mystifying-kalam
lab_04,2,mystifying-kalam
lab_05,3,mystifying-kalam
lab_06a,2,mystifying-kalam
lab_06b,3,mystifying-kalam
lab_07,1,mystifying-kalam
lab_08,2,mystifying-kalam
lab_09,1,mystifying-kalam
lab_10,3,mystifying-kalam
lab_11a,2,mystifying-kalam
lab_11b,2,mystifying-kalam
lab_12,3,mystifying-kalam
lab_13,2,mystifying-kalam
lab_14,2,mystifying-kalam
lab_15a,2,mystifying-kalam
lab_15b,2,mystifying-kalam
lab_16,2,mystifying-kalam
lab_17,2,mystifying-kalam
lab_18,1,mystifying-kalam
lab_19a,2,mystifying-kalam
lab_19b,2.0,mystifying-kalam
lab_02,2,cocky-keller
lab_03,2,cocky-keller
lab_04,3,cocky-keller
lab_05,3,cocky-keller
lab_06a,0,cocky-keller
lab_06b,0,cocky-keller
lab_07,0,cocky-keller
lab_08,0,cocky-keller
lab_09,2,cocky-keller
lab_10,2,cocky-keller
lab_11a,2,cocky-keller
lab_11b,3,cocky-keller
lab_12,3,cocky-keller
lab_13,3,cocky-keller
lab_14,3,cocky-keller
lab_15a,2,cocky-keller
lab_15b,3,cocky-keller
lab_16,2,cocky-keller
lab_17,2,cocky-keller
lab_18,3,cocky-keller
lab_19a,0,cocky-keller
lab_19b,2.0,cocky-keller
lab_02,2,trusting-pasteur
lab_03,2,trusting-pasteur
lab_04,2,trusting-pasteur
lab_05,1,trusting-pasteur
lab_06a,2,trusting-pasteur
lab_06b,2,trusting-pasteur
lab_07,1,trusting-pasteur
lab_08,2,trusting-pasteur
lab_09,2,trusting-pasteur
lab_10,3,trusting-pasteur
lab_11a,2,trusting-pasteur
lab_11b,2,trusting-pasteur
lab_12,2,trusting-pasteur
lab_13,2,trusting-pasteur
lab_14,3,trusting-pasteur
lab_15a,2,trusting-pasteur
lab_15b,3,trusting-pasteur
lab_16,2,trusting-pasteur
lab_17,3,trusting-pasteur
lab_18,2,trusting-pasteur
lab_19a,2,trusting-pasteur
lab_19b,2.0,trusting-pasteur
lab_02,2,jolly-austin
lab_03,2,jolly-austin
lab_04,2,jolly-austin
lab_05,2,jolly-austin
lab_06a,1,jolly-austin
lab_06b,2,jolly-austin
lab_07,2,jolly-austin
lab_08,2,jolly-austin
lab_09,3,jolly-austin
lab_10,3,jolly-austin
lab_11a,2,jolly-austin
lab_11b,1,jolly-austin
lab_12,2,jolly-austin
lab_13,2,jolly-austin
lab_14,2,jolly-austin
lab_15a,2,jolly-austin
lab_15b,2,jolly-austin
lab_16,1,jolly-austin
lab_17,2,jolly-austin
lab_18,2,jolly-austin
lab_19a,0,jolly-austin
lab_19b,No Submission,jolly-austin
lab_02,3,friendly-villani
lab_03,2,friendly-villani
lab_04,3,friendly-villani
lab_05,3,friendly-villani
lab_06a,0,friendly-villani
lab_06b,3,friendly-villani
lab_07,2,friendly-villani
lab_08,3,friendly-villani
lab_09,2,friendly-villani
lab_10,3,friendly-villani
lab_11a,2,friendly-villani
lab_11b,3,friendly-villani
lab_12,3,friendly-villani
lab_13,0,friendly-villani
lab_14,3,friendly-villani
lab_15a,2,friendly-villani
lab_15b,3,friendly-villani
lab_16,0,friendly-villani
lab_17,3,friendly-villani
lab_18,2,friendly-villani
lab_19a,2,friendly-villani
lab_19b,3.0,friendly-villani
lab_02,2,musing-lamport
lab_03,2,musing-lamport
lab_04,2,musing-lamport
lab_05,2,musing-lamport
lab_06a,1,musing-lamport
lab_06b,2,musing-lamport
lab_07,1,musing-lamport
lab_08,2,musing-lamport
lab_09,2,musing-lamport
lab_10,3,musing-lamport
lab_11a,2,musing-lamport
lab_11b,2,musing-lamport
lab_12,3,musing-lamport
lab_13,2,musing-lamport
lab_14,2,musing-lamport
lab_15a,2,musing-lamport
lab_15b,3,musing-lamport
lab_16,2,musing-lamport
lab_17,3,musing-lamport
lab_18,3,musing-lamport
lab_19a,2,musing-lamport
lab_19b,2.0,musing-lamport
lab_02,0,tender-brown
lab_03,2,tender-brown
lab_04,2,tender-brown
lab_05,1,tender-brown
lab_06a,0,tender-brown
lab_06b,1,tender-brown
lab_07,2,tender-brown
lab_08,2,tender-brown
lab_09,2,tender-brown
lab_10,3,tender-brown
lab_11a,0,tender-brown
lab_11b,0,tender-brown
lab_12,2,tender-brown
lab_13,1,tender-brown
lab_14,2,tender-brown
lab_15a,0,tender-brown
lab_15b,0,tender-brown
lab_16,1,tender-brown
lab_17,1,tender-brown
lab_18,2,tender-brown
lab_19a,0,tender-brown
lab_19b,1.0,tender-brown
lab_02,0,vibrant-shaw
lab_03,1,vibrant-shaw
lab_04,2,vibrant-shaw
lab_05,1,vibrant-shaw
lab_06a,0,vibrant-shaw
lab_06b,1,vibrant-shaw
lab_07,1,vibrant-shaw
lab_08,2,vibrant-shaw
lab_09,2,vibrant-shaw
lab_10,3,vibrant-shaw
lab_11a,0,vibrant-shaw
lab_11b,2,vibrant-shaw
lab_12,1,vibrant-shaw
lab_13,1,vibrant-shaw
lab_14,2,vibrant-shaw
lab_15a,2,vibrant-shaw
lab_15b,2,vibrant-shaw
lab_16,2,vibrant-shaw
lab_17,2,vibrant-shaw
lab_18,0,vibrant-shaw
lab_19a,2,vibrant-shaw
lab_19b,2.0,vibrant-shaw
lab_02,3,pensive-noyce
lab_03,3,pensive-noyce
lab_04,2,pensive-noyce
lab_05,1,pensive-noyce
lab_06a,1,pensive-noyce
lab_06b,1,pensive-noyce
lab_07,2,pensive-noyce
lab_08,2,pensive-noyce
lab_09,2,pensive-noyce
lab_10,3,pensive-noyce
lab_11a,2,pensive-noyce
lab_11b,0,pensive-noyce
lab_12,0,pensive-noyce
lab_13,0,pensive-noyce
lab_14,0,pensive-noyce
lab_15a,0,pensive-noyce
lab_15b,0,pensive-noyce
lab_16,0,pensive-noyce
lab_17,0,pensive-noyce
lab_18,0,pensive-noyce
lab_19a,0,pensive-noyce
lab_19b,No Submission,pensive-noyce
lab_02,1,laughing-leakey
lab_03,2,laughing-leakey
lab_04,3,laughing-leakey
lab_05,3,laughing-leakey
lab_06a,2,laughing-leakey
lab_06b,2,laughing-leakey
lab_07,2,laughing-leakey
lab_08,2,laughing-leakey
lab_09,2,laughing-leakey
lab_10,3,laughing-leakey
lab_11a,2,laughing-leakey
lab_11b,3,laughing-leakey
lab_12,2,laughing-leakey
lab_13,3,laughing-leakey
lab_14,3,laughing-leakey
lab_15a,2,laughing-leakey
lab_15b,3,laughing-leakey
lab_16,2,laughing-leakey
lab_17,3,laughing-leakey
lab_18,3,laughing-leakey
lab_19a,2,laughing-leakey
lab_19b,2.0,laughing-leakey
lab_02,2,dreamy-visvesvaraya
lab_03,2,dreamy-visvesvaraya
lab_04,2,dreamy-visvesvaraya
lab_05,2,dreamy-visvesvaraya
lab_06a,1,dreamy-visvesvaraya
lab_06b,2,dreamy-visvesvaraya
lab_07,2,dreamy-visvesvaraya
lab_08,2,dreamy-visvesvaraya
lab_09,2,dreamy-visvesvaraya
lab_10,3,dreamy-visvesvaraya
lab_11a,2,dreamy-visvesvaraya
lab_11b,3,dreamy-visvesvaraya
lab_12,3,dreamy-visvesvaraya
lab_13,0,dreamy-visvesvaraya
lab_14,2,dreamy-visvesvaraya
lab_15a,2,dreamy-visvesvaraya
lab_15b,3,dreamy-visvesvaraya
lab_16,2,dreamy-visvesvaraya
lab_17,2,dreamy-visvesvaraya
lab_18,2,dreamy-visvesvaraya
lab_19a,2,dreamy-visvesvaraya
lab_19b,2.0,dreamy-visvesvaraya
lab_02,2,wonderful-tesla
lab_03,2,wonderful-tesla
lab_04,3,wonderful-tesla
lab_05,3,wonderful-tesla
lab_06a,2,wonderful-tesla
lab_06b,3,wonderful-tesla
lab_07,2,wonderful-tesla
lab_08,2,wonderful-tesla
lab_09,2,wonderful-tesla
lab_10,3,wonderful-tesla
lab_11a,2,wonderful-tesla
lab_11b,2,wonderful-tesla
lab_12,2,wonderful-tesla
lab_13,2,wonderful-tesla
lab_14,2,wonderful-tesla
lab_15a,2,wonderful-tesla
lab_15b,2,wonderful-tesla
lab_16,1,wonderful-tesla
lab_17,1,wonderful-tesla
lab_18,0,wonderful-tesla
lab_19a,2,wonderful-tesla
lab_19b,1.0,wonderful-tesla
lab_02,2,naughty-albattani
lab_03,2,naughty-albattani
lab_04,2,naughty-albattani
lab_05,1,naughty-albattani
lab_06a,2,naughty-albattani
lab_06b,2,naughty-albattani
lab_07,2,naughty-albattani
lab_08,2,naughty-albattani
lab_09,2,naughty-albattani
lab_10,3,naughty-albattani
lab_11a,2,naughty-albattani
lab_11b,2,naughty-albattani
lab_12,2,naughty-albattani
lab_13,2,naughty-albattani
lab_14,2,naughty-albattani
lab_15a,2,naughty-albattani
lab_15b,2,naughty-albattani
lab_16,2,naughty-albattani
lab_17,2,naughty-albattani
lab_18,1,naughty-albattani
lab_19a,2,naughty-albattani
lab_19b,2.0,naughty-albattani
lab_02,2,peaceful-snyder
lab_03,0,peaceful-snyder
lab_04,3,peaceful-snyder
lab_05,2,peaceful-snyder
lab_06a,1,peaceful-snyder
lab_06b,2,peaceful-snyder
lab_07,2,peaceful-snyder
lab_08,2,peaceful-snyder
lab_09,3,peaceful-snyder
lab_10,3,peaceful-snyder
lab_11a,2,peaceful-snyder
lab_11b,2,peaceful-snyder
lab_12,2,peaceful-snyder
lab_13,2,peaceful-snyder
lab_14,2,peaceful-snyder
lab_15a,2,peaceful-snyder
lab_15b,2,peaceful-snyder
lab_16,1,peaceful-snyder
lab_17,2,peaceful-snyder
lab_18,2,peaceful-snyder
lab_19a,2,peaceful-snyder
lab_19b,2.0,peaceful-snyder
lab_02,0,determined-banach
lab_03,2,determined-banach
lab_04,3,determined-banach
lab_05,2,determined-banach
lab_06a,2,determined-banach
lab_06b,3,determined-banach
lab_07,2,determined-banach
lab_08,1,determined-banach
lab_09,1,determined-banach
lab_10,0,determined-banach
lab_11a,1,determined-banach
lab_11b,1,determined-banach
lab_12,2,determined-banach
lab_13,2,determined-banach
lab_14,2,determined-banach
lab_15a,1,determined-banach
lab_15b,1,determined-banach
lab_16,1,determined-banach
lab_17,2,determined-banach
lab_18,2,determined-banach
lab_19a,2,determined-banach
lab_19b,2.0,determined-banach
lab_02,2,heuristic-benz
lab_03,2,heuristic-benz
lab_04,1,heuristic-benz
lab_05,0,heuristic-benz
lab_06a,0,heuristic-benz
lab_06b,0,heuristic-benz
lab_07,0,heuristic-benz
lab_08,0,heuristic-benz
lab_09,0,heuristic-benz
lab_10,3,heuristic-benz
lab_11a,2,heuristic-benz
lab_11b,2,heuristic-benz
lab_12,2,heuristic-benz
lab_13,1,heuristic-benz
lab_14,2,heuristic-benz
lab_15a,0,heuristic-benz
lab_15b,1,heuristic-benz
lab_16,2,heuristic-benz
lab_17,2,heuristic-benz
lab_18,2,heuristic-benz
lab_19a,1,heuristic-benz
lab_19b,1.0,heuristic-benz
lab_02,2,clever-neumann
lab_03,2,clever-neumann
lab_04,0,clever-neumann
lab_05,2,clever-neumann
lab_06a,1,clever-neumann
lab_06b,3,clever-neumann
lab_07,2,clever-neumann
lab_08,3,clever-neumann
lab_09,3,clever-neumann
lab_10,3,clever-neumann
lab_11a,0,clever-neumann
lab_11b,0,clever-neumann
lab_12,2,clever-neumann
lab_13,2,clever-neumann
lab_14,2,clever-neumann
lab_15a,0,clever-neumann
lab_15b,2,clever-neumann
lab_16,2,clever-neumann
lab_17,2,clever-neumann
lab_18,2,clever-neumann
lab_19a,2,clever-neumann
lab_19b,No Submission,clever-neumann
lab_02,2,awesome-golick
lab_03,2,awesome-golick
lab_04,3,awesome-golick
lab_05,1,awesome-golick
lab_06a,0,awesome-golick
lab_06b,1,awesome-golick
lab_07,2,awesome-golick
lab_08,3,awesome-golick
lab_09,2,awesome-golick
lab_10,3,awesome-golick
lab_11a,2,awesome-golick
lab_11b,2,awesome-golick
lab_12,2,awesome-golick
lab_13,0,awesome-golick
lab_14,2,awesome-golick
lab_15a,2,awesome-golick
lab_15b,2,awesome-golick
lab_16,2,awesome-golick
lab_17,2,awesome-golick
lab_18,2,awesome-golick
lab_19a,2,awesome-golick
lab_19b,1.0,awesome-golick
lab_02,2,vigorous-chandrasekhar
lab_03,2,vigorous-chandrasekhar
lab_04,2,vigorous-chandrasekhar
lab_05,2,vigorous-chandrasekhar
lab_06a,2,vigorous-chandrasekhar
lab_06b,3,vigorous-chandrasekhar
lab_07,2,vigorous-chandrasekhar
lab_08,2,vigorous-chandrasekhar
lab_09,2,vigorous-chandrasekhar
lab_10,3,vigorous-chandrasekhar
lab_11a,2,vigorous-chandrasekhar
lab_11b,3,vigorous-chandrasekhar
lab_12,2,vigorous-chandrasekhar
lab_13,3,vigorous-chandrasekhar
lab_14,3,vigorous-chandrasekhar
lab_15a,2,vigorous-chandrasekhar
lab_15b,0,vigorous-chandrasekhar
lab_16,2,vigorous-chandrasekhar
lab_17,0,vigorous-chandrasekhar
lab_18,0,vigorous-chandrasekhar
lab_19a,0,vigorous-chandrasekhar
lab_19b,No Submission,vigorous-chandrasekhar
lab_02,0,goofy-bohr
lab_03,2,goofy-bohr
lab_04,2,goofy-bohr
lab_05,2,goofy-bohr
lab_06a,2,goofy-bohr
lab_06b,2,goofy-bohr
lab_07,1,goofy-bohr
lab_08,2,goofy-bohr
lab_09,2,goofy-bohr
lab_10,3,goofy-bohr
lab_11a,0,goofy-bohr
lab_11b,0,goofy-bohr
lab_12,2,goofy-bohr
lab_13,2,goofy-bohr
lab_14,2,goofy-bohr
lab_15a,1,goofy-bohr
lab_15b,2,goofy-bohr
lab_16,2,goofy-bohr
lab_17,2,goofy-bohr
lab_18,0,goofy-bohr
lab_19a,2,goofy-bohr
lab_19b,1.0,goofy-bohr
lab_02,2,eager-mestorf
lab_03,2,eager-mestorf
lab_04,2,eager-mestorf
lab_05,2,eager-mestorf
lab_06a,2,eager-mestorf
lab_06b,3,eager-mestorf
lab_07,2,eager-mestorf
lab_08,2,eager-mestorf
lab_09,2,eager-mestorf
lab_10,3,eager-mestorf
lab_11a,2,eager-mestorf
lab_11b,2,eager-mestorf
lab_12,2,eager-mestorf
lab_13,2,eager-mestorf
lab_14,2,eager-mestorf
lab_15a,2,eager-mestorf
lab_15b,2,eager-mestorf
lab_16,2,eager-mestorf
lab_17,3,eager-mestorf
lab_18,2,eager-mestorf
lab_19a,2,eager-mestorf
lab_19b,2.0,eager-mestorf
